Name	Set	ImageFile	Rarity	Type	Keywords	Allegiance	Cost	Asset	Attack	Armor	Structure	Speed	Mass	Armaments	Text
Katherine Steiner-Davion (CE)	CommandersEdition	CE161	Rare	Command	Unique	Steiner	3+5P		0	4	3				{T}: Choose any Command card that provides {P} and scrap it. Use this ability only during your Deploy phase.
Khan Bjorn Jorgensson (CE)	CommandersEdition	CE162	Rare	Command	Unique	Ghost Bear	3+3T		2	1	6				Counts as Bjorn Jorgensson while in play. {T}: One of your Units has +5 attack, only usable against targets other than Units. Use this ability only during a mission.
King Crab (KGC-000) (CE)	CommandersEdition	CE163	Rare	Unit		ComStar	7+4L+4M		3	3	11	Slow	100 tons	Lg Laser, 2 AC/20s	Alpha Strike: +4 attack
Kintaro (KTO-19) (CE)	CommandersEdition	CE164	Uncommon	Unit		ComStar	5+1T		3	1	8	Moderate	55 tons	2 Med Lasers, 12 SRMs	Overheat 2: +1 attack Narc (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Kintaro (KTO-20) (CE)	CommandersEdition	CE165	Common	Unit		Kurita - ComStar	4+3A+2M		3	1	8	Moderate	55 tons	Lg Laser, 2 Med Lasers, 12 SRMs	Overheat 1: +1 attack
Komodo (KIM-2) (CE)	CommandersEdition	CE166	Rare	Unit		Kurita	6+3A+3M+3T		6	1	5	Moderate	45 tons	10 Med Lasers	Jump (-1 attack: +1 initiative) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Komodo.) ECM (Units in groups including any with ECM each get+1 armor.)
Koshi B (Mist Lynx) (CE)	CommandersEdition	CE167	Common	Unit	Omni	Clan	4		4	0	4	Fast	25 tons	2 Med Lasers, 12 SRMs	Jump (-1 attack: +1 initiative)
Koshi C (Mist Lynx) (CE)	CommandersEdition	CE168	Rare	Unit	Omni	Smoke Jaguar	3+1A+1M+1T		3	0	3	Fast	25 tons	Lg Laser, Med Laser	Jump (-1 attack: +1 initiative) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Koshi C.) ECM (Units in groups including any with ECM each get+1 armor.)
Koshi Prime (CE)	CommandersEdition	CE169	Common	Unit	Omni	Clan	1+2A		2	0	3	Fast	25 tons	10 LRMs, 4 SRMs	Jump (-1 attack: +1 initiative)
Kraken (Bane) (CE)	CommandersEdition	CE170	Uncommon	Unit		Jade Falcon	8+3A+3L		5	4	11	Slow	100 tons	10 AC/2s	Long-Range 3 (If Kraken is blocked, it may deal up to 3 of its damage to the target.)
Kurita High Command (CE)	CommandersEdition	CE171	Fixed	Command	Unique	Kurita	3+3T		0	4	2				Each of your 'Mechs gets -1 structure and gains C3 (Each Unit with C3 in a group that includes at leas tone other Unit with C3 gets +2 attack.)
Lance Commander (CE)	CommandersEdition	CE172	Uncommon	Command	Pilot	Inner Sphere	0+3T								+2 initiative Prevent 1 damage to one Unit in the group that includes 'Mech piloted by Lance Commander. Use this ability only during a mission.
Lancelot (LNC25-01) (CE)	CommandersEdition	CE173	Rare	Unit		Inner Sphere	4+3A		4	2	5	Moderate	60 tons	PPC, 2 Lg Lasers	Overheat 4: +1 attack
Laser System Retrofit (CE)	CommandersEdition	CE174	Uncommon	Command	Enhancement		1+4M		-1						When you activate this card, put it on one of your Unit having at least 1 attack. That Unit gets -1 attack and gains Overheat 2: +3 attack. You may deploy this card revealed to make an additional deployment this turn.
Last Stand at Hanover (CE)	CommandersEdition	CE175	Uncommon	Mission		Inner Sphere									Scrap one of your Units to roll a die: 1: No effect. 2-6: Attacking Units deal no damage.
Linebacker B (CE)	CommandersEdition	CE176	Common	Unit	Omni	Wolf	7+2A+2M+1T		6	2	8	Moderate	65 tons	Gauss Rifle, 3 Med Lasers	Long-Range 1 (If Linebacker B is blocked, it may deal 1 of its damage to the target.)
Linebacker Prime (CE)	CommandersEdition	CE177	Common	Unit	Omni	Clan	7+2A+1M+2T		5	2	8	Moderate	65 tons	2 PPCs	Overheat 1: +1 attack Long-Range 2 (If Linebacker Prime is blocked, it may deal up to 2 of its damage to the target.)
Loki B (Hellbringer) (CE)	CommandersEdition	CE178	Uncommon	Unit	Omni	Jade Falcon	5+1A+2M		6	1	5	Moderate	65 tons	Gauss Rifle, 12 SRMs	
Long Range Targeting System (CE)	CommandersEdition	CE179	Rare	Command	Enhancement		0+4A								When you activate this card, put it on one of your Units. That Unit gains Long-Range X, where X is equal to half its attack, rounded down. (If this Unit is blocked, it may deal X of its damage to the target.) You may deploy this card revealed to make an additional deployment this turn.
Luck of the Fox (CE)	CommandersEdition	CE180	Rare	Mission		Davion									Choose any opposing Unit. Roll a die: 1: No effect. 2-3: Return this card to your hand after the mission. 4-6: That Unit deals no damage.
Mad Cat B (Timber Wolf) (CE)	CommandersEdition	CE181	Uncommon	Unit	Omni	Wolf	9+1A+1M		7	2	9	Moderate	75 tons	Gauss Rifle, Lg Laser, 10 LRMs	
Mad Cat Prime (Timber Wolf) (CE)	CommandersEdition	CE182	Common	Unit	Omni	Clan	15+2L		7	2	9	Moderate	75 tons	2 Lg Lasers, 40 LRMs	Missile 2 Overheat 3: +3 attack
Man O' War B (Gargoyle) (CE)	CommandersEdition	CE183	Rare	Unit	Omni	Wolf	5+2A		4	3	7	Moderate	80 tons	10 LRMs, 4 SRMs	
Man O' War Prime (Gargoyle) (CE)	CommandersEdition	CE184	Common	Unit	Omni	Clan	5+2A		4	3	7	Moderate	80 tons	12 SRMs, 2 AC/5s	
Mandrill (CE)	CommandersEdition	CE185	Rare	Unit		Clan	2+3A+3M		1	0	5	Slow	30 tons	30 LRMs	Missile 3 Jump (-1 attack: +1 initiative)
Marissa Morgan (CE)	CommandersEdition	CE186	Rare	Command	Unique	Marik	1+3T		0	3	1				{T}: You get +1 initiative and choose any Unit. Prevent up to 2 damage to that Unit. Use this ability only during a mission.
Masakari Prime (Warhawk) (CE)	CommandersEdition	CE187	Rare	Unit	Omni	Clan	13+3A+5M+3L		10	3	9	Slow	85 tons	4 PPCs	Overheat 4: +3 attack
Maskirovka Operatives (CE)	CommandersEdition	CE188	Rare	Command	Subterfuge	Liao	2+4P		0	3	1				Scrap this card when it is revealed unless you reveal it during your Deploy phase. {T}: Choose any opposing Unit and tap it. Use this ability only during your Missions phase, but not during a mission.
Massive Battlefield Confusion (CE)	CommandersEdition	CE189	Rare	Mission											Play only when blocking. Roll a die:1: No effect. 2-4: Return this card to your hand after the mission. 5-6: Each Unit assigns all its damage to a randomly selected Unit other than itself, possibly even a Unit in its group. If a Unit had already assigned damage,this random assignment replaces the original one.
Mauler (MAL-1R) (CE)	CommandersEdition	CE190	Rare	Unit		Kurita	4+1A+1M		3	2	7	Slow	90 tons	2 Lg Lasers, 30 LRMs, AC/2	Missile 1 Overheat 2: +1 attack
Mech Hangar (CE)	CommandersEdition	CE191	Common	Command			2+2L		0	1	5				{T}: You may make an additional deployment this turn. Use this ability only during your Deploy phase.
Mech Trap (CE)	CommandersEdition	CE192	Common	Command	Subterfuge		4+6P								Scrap this card when it is revealed. You may activate this card only when attacked. After the mission, deplete all attacking 'Mechs.
MedEvac Team (CE)	CommandersEdition	CE193	Rare	Command		Inner Sphere	1+2L		0	3	1				{T}: Put any Pilot card from your Scrapheap into your hand. Use this ability only during your Deploy phase.
Mercenary Commission Contacts (CE)	CommandersEdition	CE194	Rare	Command		Inner Sphere	0+5P		0	4	2				{T}: Search your Stockpile for any Mercenary card, show that card to all players, and put it in your hand. Shuffle your Stockpile afterwards. Use this ability only during your Deploy phase.
Misrouted Command (CE)	CommandersEdition	CE195	Common	Command	Subterfuge		3+6P								Scrap this card when it is revealed. Choose any Unit, tap it, and put three diversion counters on it. As long as there are any diversion counters on that Unit, whenever it would untap,remove one of these diversion counters from it instead.
Missile Rack Retrofit (CE)	CommandersEdition	CE196	Uncommon	Command	Enhancement		2+3M		-1						When you activate this card, put it on one of your Units having at least 1 attack. That Unit gets -1 attack and gains Missile 2.You may deploy this card revealed to make an additional deployment this turn.
Missile Spotter (CE)	CommandersEdition	CE197	Uncommon	Mission		Inner Sphere									For the rest of this mission, you may subtract 1 from each missile die roll immediately after rolling that missile die.
Mongoose (MON-66) (CE)	CommandersEdition	CE198	Uncommon	Unit		Inner Sphere	1+3A		2	1	3	Fast	25 tons	3 Med Lasers	
Morgan Hasek Davion (CE)	CommandersEdition	CE199	Rare	Command	Unique	Davion	4+4T		0	1	3				{T}: You get +1 initiative and each attacking Unit gets +1 attack. Use this ability only during a mission.
Morgan Kell (CE)	CommandersEdition	CE200	Rare	Command	Unique - Pilot - Mercenary	Inner Sphere	4+5T		0						If 'Mech piloted by Morgan Kell attacks alone, it cannot be blocked, but put this card into your hand after the mission.
Move to Partial Cover (CE)	CommandersEdition	CE201	Common	Mission											Prevent up to 2 damage to one of your Units.
Naga D (CE)	CommandersEdition	CE202	Uncommon	Unit	Omni	Wolf	8+3A+3L		7	2	5	Moderate	80 tons	4 SRMs, 2 Arrow IVs	{T}: Choose any Unit or the target and deal 2 damage to it. Use this ability only during a mission.
Naga Prime (CE)	CommandersEdition	CE203	Uncommon	Unit	Omni	Clan	8+1A+1T		6	2	5	Moderate	80 tons	2 Arrow IVs	Overheat 1: +1 attack {T}: Choose any Unit or the target and deal 2 damage to it. Use this ability only during a mission.
Naginata (NG-C3A) (CE)	CommandersEdition	CE204	Uncommon	Unit		Kurita	7+1A+1T		0	3	9	Slow	95 tons	PPC, 45 LRMs	Missile 4 C3 (Each Unit with C3 in a group that includes at least one other Unit with C3 gets +2 attack.)
Narrow Valley (CE)	CommandersEdition	CE205	Uncommon	Command	Terrain - Enhancement		3								When you activate this card, put it in one of your regions and scrap all other Terrain cards in that region. No group containing more than two Units can attack a target in the region enhanced by this card, and no group containing more than two Units can block an attack against such a target.
Night Gyr B (CE)	CommandersEdition	CE206	Common	Unit	Omni	Jade Falcon - Smoke Jaguar	6+3A+2M		5	2	9	Slow	75 tons	2 Gauss Rifles, 2 AC/2s	Jump (-1 attack: +1 initiative) Long-Range 2 (If Night Gyr B is blocked, it may deal up to 2 of its damage to the target.)
Nightsky Revised (NGS-4S) (CE)	CommandersEdition	CE207	Uncommon	Unit		Davion - Steiner	4		3	1	7	Moderate	50 tons	Lg Laser, Hatchet	Jump (-1 attack: +1 initiative) Hand-to-Hand 1 (Nightsky has +1 attack, only usable against Units of the same speed or slower.)
Nobori-nin A (Huntsman) (CE)	CommandersEdition	CE208	Uncommon	Unit	Omni	Clan	6+4A+4T		6	1	7	Moderate	50 tons	2 Lg Lasers, 10 LRMs, AC/2	Jump (-1 attack: +1 initiative)
Omi Kurita (CE)	CommandersEdition	CE209	Rare	Command	Unique	Kurita	4+6P		0	4	1				{T}: Put any Resource or Kurita card you own on top of your Stockpile. Use this ability only during a mission.
OmniMech-Pod Cache (CE)	CommandersEdition	CE210	Uncommon	Command			3+3A+3L		1	3	3				{T}: Scrap any Omni 'Mech you control to search your Stockpile for any configuration of that 'Mech. (For example, you may scrap a Puma A to search for a Puma Prime, A, B, etc.) For each point by which the base construction cost of the new 'Mech exceeds that of the old, pay {R} or scrap one card from your Stockpile. Put the new 'Mech into your Patrol region, activated. Shuffle your Stockpile afterwards. Use this ability only during your Deploy phase.
Orion (ON1-M) (CE)	CommandersEdition	CE211	Rare	Unit		Marik	6+2A+1T		3	2	9	Slow	75 tons	20 LRMs, 4 SRMs, AC/10	Missile 1 NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Overrun (CE)	CommandersEdition	CE212	Common	Mission											Play only when blocked. After this mission, if all blocking Units were scrapped when damage was resolved, untap each attacking Unit.
Overwhelm (CE)	CommandersEdition	CE213	Uncommon	Mission		Inner Sphere									Play only during battle. Choose any opposing Unit. Each of your Units gets +2 attack. You may assign their damage only to that opposing Unit.
Owens Revised (OW-1) (CE)	CommandersEdition	CE214	Uncommon	Unit	Omni	Inner Sphere	2+1A+1T		1	0	6	Fast	35 tons	1 Med Laser, 10 LRMs	C3 (Each Unit with C3 in a group that includes at least one other Unit with C3 gets +2 attack.)
Owens Revised (OW-1D) (CE)	CommandersEdition	CE215	Rare	Unit	Omni	Kurita	3+1A+1T		1	0	6	Fast	35 tons	4 LRMs	NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.) C3 (Each Unit with C3 in a group that includes at least one other Unit with C3 gets +2 attack.)
Panther (PNT-9R) (CE)	CommandersEdition	CE216	Common	Unit		Kurita	1+1A		2	1	4	Slow	35 tons	PPC, 4 SRMs	Jump (-1 attack: +1 initiative)
Penetrator Revised (PTR-4D) (CE)	CommandersEdition	CE217	Uncommon	Unit		Davion - Steiner	5+2A+2M+2T		4	2	8	Slow	75 tons	2 Lg Lasers, 6 Med Lasers	Overheat 6: +3 attack Jump (-1 attack: +1 initiative) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Penetrator.)
Peregrine (Horned Owl) (CE)	CommandersEdition	CE218	Common	Unit		Clan	4+1M		5	0	5	Moderate	35 tons	Lg Laser, 2 Med Lasers	Jump (-1 attack: +1 initiative)
Perimeter Alarm (CE)	CommandersEdition	CE219	Rare	Command	Enhancement		2+2A+4L								When you activate this card, put it on one of your sites. Patrolling Units may block attacks against site enhanced by this card regardless of their speed. You may deploy this card revealed to make an additional deployment that turn.
Phantom A (CE)	CommandersEdition	CE220	Uncommon	Unit	Omni	Wolf	5+2A+3M+3T		4	1	5	Fast	40 tons	Med Laser, 5 Sm Lasers	You may move Phantom A to your Patrol region as soon as you activate it.
Phantom B (CE)	CommandersEdition	CE221	Uncommon	Unit	Omni	Wolf	4+1A+1M+1T		3	1	5	Fast	40 tons	Med Laser, 8 SRMs	You may move Phantom B to your Patrol region as soon as you activate it.
Phantom Prime (CE)	CommandersEdition	CE222	Common	Unit	Omni	Clan	4+1A+1M+1T		2	1	5	Fast	40 tons	Med Laser, 5 LRMs	ECM (Units in groups including any with ECM each get+1 armor.) You may move Phantom Prime to your Patrol region as soon as you activate it.
Phelan Ward (CE)	CommandersEdition	CE223	Rare	Command	Unique - Pilot	Wolf	3+4P+2T		2						Counts as Phelan while in play.+1 initiative, +2 attack Put Phelan Ward into your hand to have all Units deal no damage. Use this ability only during battle.
Piranha (CE)	CommandersEdition	CE224	Rare	Unit		Clan	2+2A+2M		2	0	3	Fast	20 tons	2 Med Lasers, 12 MGs	Alpha Strike: +1 attack AP (Piranha has +1 attack, only usable against targets other than Units.)You may move Piranha to your Patrol region as soon as you activate it.
Point Defense System (CE)	CommandersEdition	CE225	Uncommon	Command	Enhancement		0+2A+2L								When you activate this card, put it on one of your sites. Prevent all missile damage to the site enhanced by this card. If that site is damaged, attacking player may choose to redirect 4 of that damage to this card, scrapping it. Use this ability only during a mission. You may deploy this card revealed to make an additional deployment this turn.
Pouncer B (CE)	CommandersEdition	CE226	Common	Unit	Omni	Wolf	5+1A+2M		4	1	5	Moderate	40 tons	2 Lg Lasers, 10 LRMs, 8 SRMs	Overheat 2: +2 attack Jump (-1 attack: +1 initiative) Long-Range 1 (If Pouncer B is blocked, it may deal 1 of its damage to the target.)
Pouncer C (CE)	CommandersEdition	CE227	Common	Unit	Omni	Wolf	4+4A+4M		5	1	5	Moderate	40 tons	2 Med Lasers, AC/10	Jump (-1 attack: +1 initiative)
Pouncer Prime (CE)	CommandersEdition	CE228	Common	Unit	Omni	Clan	6+1A+1M+2T		5	1	5	Moderate	40 tons	2 PPCs	Overheat 2: +2 attack Jump (-1 attack: +1 initiative) Long-Range 2 (If Pouncer Prime is blocked, it may deal up to 2 of its damage to the target.)
Primus Sharilar Mori (CE)	CommandersEdition	CE229	Rare	Command	Unique	ComStar	2+6P		0	4	4				Counts as Sharilar Mori while in play. {T}: Scrap any Resource card from your hand to draw a card. Use this ability only during your Deploy phase. Logistics (At the end of your turn, you may restock one card from your hand.)
Prince Victor Steiner-Davion (CE)	CommandersEdition	CE230	Rare	Command	Unique - Pilot	Davion	6+4T		3						Counts as Victor Steiner-Davion while in play.+3 initiative, +3 attack Each other Unit in a group that includes 'Mech piloted by Prince Victor Steiner-Davion gets +1 attack and +1 initiative. Use this ability only during a mission.
Prometheus (Dire Wolf) (CE)	CommandersEdition	CE231	Rare	Unit	Unique - Omni	Steiner	20		10	4	11	Slow	100 tons	5 Lg Lasers, AC/20	Overheat 4: +6 attack Alpha Strike: +2 attack Each opposing Unit gets -1 attack. Use this ability only during battle.
Pryde's Pride (CE)	CommandersEdition	CE232	Rare	Mission		Jade Falcon									Play only during battle. Choose one of your Units. If that Unit is scrapped later this mission, each Unit that had assigned damage to that Unit during the battle receives 2 structure damage.
Puma A (Adder) (CE)	CommandersEdition	CE233	Common	Unit	Omni	Clan	3+1A+1M		1	1	5	Moderate	35 tons	40 LRMs	Missile 3
Puma C (Adder) (CE)	CommandersEdition	CE234	Uncommon	Unit	Omni	Clan	4+2A+2T		2	1	5	Moderate	35 tons	30 LRMs	Missile 2 NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Puma D (Adder) (CE)	CommandersEdition	CE235	Uncommon	Unit	Omni	Clan	3+2A+2M		3	1	5	Moderate	35 tons	Lg Laser, 4 SRMs, AC/5	Alpha Strike: +2 attack
Puma Prime (Adder) (CE)	CommandersEdition	CE236	Common	Unit	Omni	Clan	5+2A+1M		4	1	5	Moderate	35 tons	2 PPCs	Overheat 2: +2 attack Long-Range 3 (If Puma Prime is blocked, it may deal up to 3 of its damage to the target.)
Pushing the Envelope (CE)	CommandersEdition	CE237	Uncommon	Mission											One of your Units gets +3 attack but receives 3 damage.
Quick Salvage Operation (CE)	CommandersEdition	CE238	Uncommon	Mission											Play only when blocking. After the mission, if any attacking Units were scrapped during the battle, you may put one of them into play in your Patrol region, activated, with a number of damage counters equal to 1 less than its structure.
Quickdraw (QKD-4G) (CE)	CommandersEdition	CE239	Common	Unit		Inner Sphere	2+1A+1M		2	2	4	Moderate	60 tons	4 Med Lasers, 10 LRMs, 4 SRMs	Overheat 4: +2 attack Jump (-1 attack: +1 initiative)
Quickdraw (QKD-5M) (CE)	CommandersEdition	CE240	Common	Unit		Inner Sphere	2+2A		2	2	5	Moderate	60 tons	4 Med Lasers, 10 LRMs	Jump (-1 attack: +1 initiative)
Rakshasa (MDG-1A) (CE)	CommandersEdition	CE241	Uncommon	Unit		Inner Sphere	7+3M		2	2	9	Moderate	75 tons	2 Lg Lasers, 20 LRMs	Missile 2 Overheat 3: +2 attack
Rapid Cool-Down (CE)	CommandersEdition	CE242	Uncommon	Mission											Prevent all Overheat damage to all Units. Roll a die: 1-3: No additional effect. 4-6: Return this card to your hand after the mission.
Raven (RVN-3L) (CE)	CommandersEdition	CE243	Uncommon	Unit		Liao	2+3T		2	0	3	Moderate	35 tons	2 Med Lasers, 6 SRMs	NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.) ECM (Units in groups including any with ECM each get+1 armor.)
Reactor Breach (CE)	CommandersEdition	CE244	Rare	Mission											Play only during battle. Choose one of your Units. When damage is resolved, if that Unit is still in the battle, scrap it and roll a die for each other Unit in the battle: 1-2: No effect on that Unit. 3-6: That Unit receives damage equal to the scrapped Unit's tonnage divided by 10 (round up). (Errata)
Recon Pilot (CE)	CommandersEdition	CE245	Uncommon	Command	Pilot		0+4T		0						+1 initiative Prevent up to 5 damage to 'Mech piloted by Recon Pilot, but that 'Mech deals no damage. Use this ability only during a mission and only if that 'Mech is attacking. You may deploy Recon Pilot revealed to make an additional deployment this tur
Redline Pilot (CE)	CommandersEdition	CE246	Common	Command	Pilot		3+2T		0						Whenever 'Mech piloted by Redline Pilot uses Overheat, it gets an additional +2 attack and receives no Overheat damage.
Relentless Assault (CE)	CommandersEdition	CE247	Uncommon	Mission											Each Unit of 80 tons or more gets +2 attack and +2 armor.
Repair Facility (CE)	CommandersEdition	CE248	Common	Command	Resource		0+3A	A							{T}: {R} {T}: Repair 1 damage to one of your Units. Use this ability only during your Repair/Reload phase. Assembly (Once during your Repair/Reload phase, you may pay {R} to repair 1 damage to one of your Units.)
Rhonda Snord (CE)	CommandersEdition	CE249	Rare	Command	Unique - Mercenary	Inner Sphere	3+3P+3T		1						+3 initiative, +1 attack Choose one of the following options: Missile, Overheat, Alpha Strike, or Jump. Choose whether all attacking Units must use that option (if able) or cannot use it. Use this ability only when 'Mech piloted by Rhonda Snord blocks or
Rhonda's Highlander (HGN-732) (CE)	CommandersEdition	CE250	Rare	Unit	Unique - Mercenary	Inner Sphere	7+1A+2M		3	3	10	Slow	90 tons	Gauss Rifle, 20 LRMs	Missile 1 Overheat 1: +2 attack Jump (-1 attack: +1 initiative) Each opposing Unit gets -1 attack. Use this ability only during battle.
Risky Combat Jump (CE)	CommandersEdition	CE251	Uncommon	Mission											Choose one of your Units with Jump. Roll a die: 1-2: That Unit receives 1 damage. Return this card to your hand after the mission. 3-6: That Unit gets +3 attack. Prevent up to 2 damage to that Unit.
Ristar MechWarrior (CE)	CommandersEdition	CE252	Rare	Command	Pilot	Clan	1+4T		1						+1 initiative, +1 attack For each Mission card you play during a mission involving 'Mech piloted by Ristar MechWarrior, you may roll a die after the mission:1-2: No effect.4-6: Put that Mission card into your hand.
Rocky Gorge (CE)	CommandersEdition	CE253	Uncommon	Command	Terrain - Enhancement		3								When you activate this card, put it in one of your regions and scrap all other Terrain cards in that region. Deal 2 damage to each attacking Unit. Use this ability only during a mission whose target is in the region enhanced by this card.
Rolling Hills (CE)	CommandersEdition	CE254	Uncommon	Command	Terrain - Enhancement		3								When you activate this card, put it in one of your regions and scrap all other Terrain cards in that region. Prevent up to 2 damage to each blocking 'Mech. Use this ability only during a mission whose target is in the region enhanced by this card.
Rookie Pilot (CE)	CommandersEdition	CE255	Rare	Command	Pilot		2+6P		-3						-3 attack When you activate Rookie Pilot, put it on any unpiloted 'Mech you do not control. Rookie Pilot cannot be reassigned.
Ryoken B (Stormcrow) (CE)	CommandersEdition	CE256	Rare	Unit	Omni	Smoke Jaguar	9+1A+2L+3M		6	2	7	Moderate	55 tons	6 Med Lasers, AC/20	Overheat 2: +2 attack Alpha Strike: +2 attack
Ryoken C (Stormcrow) (CE)	CommandersEdition	CE257	Common	Unit	Omni	Ghost Bear	7+1A		6	2	7	Moderate	55 tons	Lg Laser, AC/10	()
Ryoken D (Stormcrow) (CE)	CommandersEdition	CE258	Uncommon	Unit	Omni	Smoke Jaguar	6+3A		1	2	7	Moderate	55 tons	40 LRMs, 4 SRMs	Missile 3 NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Sacrifice for the Dragon! (CE)	CommandersEdition	CE259	Rare	Mission		Kurita									Choose one of your Units. Roll a die: 1-2: Draw a card after the mission. 3-6: That Unit gets +(3-6) attack but receives 2 damage.
Salamander (PPR-5S) (CE)	CommandersEdition	CE260	Rare	Unit		Davion - Steiner	6+4A		0	3	9	Slow	80 tons	60 LRMs	Missile 4
Sandhurst Royal Military Academy (CE)	CommandersEdition	CE261	Uncommon	Command		ComStar	4+2L+5P		3	2	3				{T}: One of your unpiloted Units gets either +2 attack or +2 armor. If that Unit is scrapped during this mission, scrap this card; otherwise, untap this card after the mission. Use this ability only during a mission.
Scarabus (SCB-9A) (CE)	CommandersEdition	CE262	Rare	Unit		Davion - Steiner	3+1M+1T		1	0	5	Fast	30 tons	2 Med Lasers, Hatchet	ECM (Units in groups including any with ECM each get+1 armor.) Hand-to-Hand 1 (Scarabus has +1 attack, only usable against Units of the same speed or slower.) You may move Scarabus to your Patrol region as soon as you activate it.
Sharpshooter (CE)	CommandersEdition	CE263	Common	Command	Pilot		1+2T		0						Whenever 'Mech piloted by Sharpshooter uses Alpha Strike, it gets an additional +2 attack and does not deplete.
Shin Yodama (CE)	CommandersEdition	CE264	Rare	Command	Unique - Pilot	Kurita	2+3L+3T		1						+2 initiative, +1 attack If 'Mech piloted by Shin Yodama is scrapped during amiss ion, put it and Shin Yodama on top of your Stockpile in any order.
Shogun (SHG-2F) (CE)	CommandersEdition	CE265	Rare	Unit		Wolf's Dragoons	5+2A+2T		3	3	8	Slow	85 tons	PPC, 30 LRMs, 12 SRMs	Missile 1 Overheat 3: +1 attack Jump (-1 attack: +1 initiative)
Sibko Allegiance (CE)	CommandersEdition	CE266	Rare	Mission		Clan									Search your Stockpile for any copy of any Pilot card you control, whether or not it is involved in the mission. Put the new Pilot into play, activated, on an unpiloted 'Mech you control that is involved in the mission. Shuffle your Stockpile afterwards.
Simone Devon (CE)	CommandersEdition	CE267	Rare	Command	Unique	St. Ives	2+3P+2T		3	4	2				{T}: Count the number of your Units and the number of opposing Units. If there are fewer opposing Units, you get +X initiative and each of your Units gets +X attack, where X is the difference. Use this ability only during battle.
Single Combat (CE)	CommandersEdition	CE268	Rare	Command			3+5T		0	3	3				{T}: Choose one of your ?Mechs and one ?Mech an opponent controls. Tap these ?Mechs and engage them in battle. Treat this battle as if it occurred during a mission, but Mission cards may not be played. If that opponent controls no Clan or Kurita cards, he or she may avoid this battle by untapping your ?Mech. Use this ability only during the Missions phase but not during a mission. (Errata)
Smoke Jaguar High Command (CE)	CommandersEdition	CE269	Fixed	Command	Unique - Resource	Smoke Jaguar	1+2T		0	4	2				{T}: {R} {T}: Re roll one of your missile die rolls or add 1 to that roll. Use this ability immediately after rolling that missile die.
Snake (SNK-1V) (CE)	CommandersEdition	CE270	Common	Unit		Liao	2+2A+2M		3	1	5	Moderate	45 tons	6 SRMs, AC/10	Jump (-1 attack: +1 initiative)
Solaris Games Veteran (CE)	CommandersEdition	CE271	Rare	Command	Pilot	Inner Sphere	3+4T		2						+2 initiative, +2 attack Scrap any card from your hand to untap 'Mech piloted by Solaris Games Veteran. Use this ability only after a mission and only if that 'Mech blocked that mission.
Spider (SDR-5V) (CE)	CommandersEdition	CE272	Uncommon	Unit		Inner Sphere	1+1A+1L		1	0	3	Fast	30 tons	2 Med Lasers	Jump (-1 attack: +1 initiative) You may deploy Spider revealed to make an additional deployment this turn.
Spider Revised (SDR-7M) (CE)	CommandersEdition	CE273	Common	Unit		Inner Sphere	2+1L		2	0	3	Fast	30 tons	2 Med Lasers	Jump (-1 attack: +1 initiative) You may deploy Spider revealed to make an additional deployment this turn.
St. Ives Operations Officer (CE)	CommandersEdition	CE274	Uncommon	Command		St. Ives	0+4P		1	4	2				{T}: Shuffle any number of cards from your Scrapheap into your Stockpile, then scrap that many cards from your Stockpile. Use this ability only during your Draw phase.
St. Ives Salvage Crew (CE)	CommandersEdition	CE275	Rare	Command		St. Ives	0+4P		0	4	2				Whenever any cards are scrapped from your Stockpile, put them into your hand instead, then choose that many cards in your hand and scrap them.
Staging Ground (CE)	CommandersEdition	CE276	Uncommon	Command	Resource	Rasalhague	1+2L			2	3				{T}: {R} {T}: Put three construction counters on one of your Command cards under construction. Show that card to all players. Use this ability only during your Deploy phase.
Stalker (STK-3F) (CE)	CommandersEdition	CE277	Common	Unit		Inner Sphere	6+1A+1M		2	3	7	Slow	85 tons	2 Lg Lasers, 20 LRMs	Missile 1 Overheat 3: +4 attack
Steal 'Mech (CE)	CommandersEdition	CE278	Rare	Command	Subterfuge	Inner Sphere	4+6P								Scrap this card when it is revealed. Choose any opponent and any 'Mech he or she controls. You and that opponent each hide a number of counters and then reveal them. Whoever reveals more counters gains control of the 'Mech; if you reveal the same number, the opponent retains control of it. If you revealed more counters, scrap twice that many cards from your Stockpile. If the opponent revealed more counters, scrap that many cards from his or her Stockpile.
Stealth (STH-1D) (CE)	CommandersEdition	CE279	Common	Unit		Davion - Steiner	3+2A+2M		2	1	7	Fast	45 tons	2 Med Lasers	Jump (-1 attack: +1 initiative)
Steiner High Command (CE)	CommandersEdition	CE280	Fixed	Command	Unique	Steiner	3+5P		0	4	2				Whenever you deploy a Subterfuge card, you may show that card to all players to draw a card, and also may make an additional deployment this turn.
